price,bedrooms,bathrooms,addr,lat,lng
"2,575",1,1,40 Clinton St #7J,40.6955289,-73.9920708
"2,795",2,1,40 Clinton St #GC,40.6955289,-73.9920708
"6,500",2,2,77 W 24th St #4-C,40.6996006,-99.0828843
"3,995",1,1,77 W 24th St #4H,40.6996006,-99.0828843
"6,195",2,2,2 Water St #11H,40.7028415,-74.0126922
"6,195",2,2,2 Water St,40.7028415,-74.0126922
"6,700",3,2,Coenties Slip and Water St,40.7033038,-74.0102058
"5,000",4,1,60 Pearl St #4,40.7034358,-74.0110884
"6,000",3,2,66 Pearl St #500,40.7034852,-74.0108313
"2,950",1,1,74 Pearl St #4,40.7037389,-74.0104776
"19,332",2,2,10 Hanover Sq,40.7046002,-74.0089305
"21,868",2,2,95 Wall St,40.7046867,-74.0074853
"7,500",2,2,101 Wall St #20A,40.7047178,-74.0059883
"3,995",1,1,101 Wall St #16A,40.7047178,-74.0059883
"7,600",2,2,101 Wall St #16B,40.7047178,-74.0059883
"7,500",2,2,101 Wall St #14C,40.7047178,-74.0059883
"3,395",1,1,20 Beaver St #2F,40.7048362,-74.0123006
"3,710",1,1,5 Hanover Sq #23LJ,40.7050758,-74.0091604
"8,600",2,2,75 Wall St #L6,40.7051405,-74.0079954
"2,900",1,2,75 Wall St #25I,40.7051405,-74.0079954
"4,000",1,1,75 Wall St #31N,40.7051405,-74.0079954
"4,300",1,1,75 Wall St #24N,40.7051405,-74.0079954
"4,000",1,1,75 Wall St #32N,40.7051405,-74.0079954
"4,295",1,1,75 Wall St #30B,40.7051405,-74.0079954
"4,195",1,4,75 Wall St #33A,40.7051405,-74.0079954
"3,275",1,3,75 Wall St #24Q,40.7051405,-74.0079954
"3,950",1,8,75 Wall St #31A,40.7051405,-74.0079954
"3,900",1,8,75 Wall St #28A,40.7051405,-74.0079954
"2,657",1,5,1 West St #3512,40.705242,-74.0161235
"5,571",2,2,1 West St #3607,40.705242,-74.0161235
"3,686",1,1,1 West St #2023,40.705242,-74.0161235
"5,778",2,2,1 West St #2436,40.705242,-74.0161235
"3,600",1,1,1 West St #2611,40.7052541,-74.0161532
"24,500",4,4,10 West St #1C,40.705569,-74.0175001
"4,300",1,1,10 West St #17D,40.705569,-74.0175001
"11,000",3,3,10 West St #30C,40.705569,-74.0175001
"9,800",2,2,10 West St #21C,40.705569,-74.0175001
"4,950",1,1,10 West St #18D,40.705569,-74.0175001
"3,129",1,1,67 Wall St #17J,40.7055787,-74.0083779
"4,033",1,1,67 Wall St #9K,40.7055787,-74.0083779
"3,863",1,1,67 Wall St #7M,40.7055787,-74.0083779
"4,071",1,1,67 Wall St #17N,40.7055787,-74.0083779
"5,179",3,2,67 Wall St #11H,40.7055787,-74.0083779
"4,492",2,1,67 Wall St #10G,40.7055787,-74.0083779
"2,607",1,1,67 Wall St #3J,40.7055787,-74.0083779
"4,013",1,1,67 Wall St #3O,40.7055787,-74.0083779
"3,150",1,1,63 Wall St #1816,40.7056004,-74.0087796
"3,163",1,1,63 Wall St #910,40.7056004,-74.0087796
"4,438",2,1,63 Wall St #1104,40.7056004,-74.0087796
"4,804",2,2,63 Wall St #1813,40.7056004,-74.0087796
"3,076",1,5,63 Wall St #3602,40.7056004,-74.0087796
"2,596",1,5,63 Wall St #3302,40.7056004,-74.0087796
"2,470",1,2,63 Wall St #1703,40.7056004,-74.0087796
"2,992",1,1,63 Wall St #2015,40.7056004,-74.0087796
"3,000",1,1,40 Exchange Pl #1015,40.7057883,-74.0102499
"3,295",2,1,130 Water St #12G,40.7057895,-74.0071687
"4,000",1,1,130 Water St #6L,40.7057895,-74.0071687
"3,400",2,1,130 Water St #7A,40.7057895,-74.0071687
"1,350",2,2,25 Exchange Pl,40.7058398,-74.0097928
"4,995",1,1,170 John St,40.7059326,-74.0042523
"7,950",2,2,40 Broad St #3F,40.7060375,-74.0117772
"19,995",2,2,40 Broad St #5A,40.7060375,-74.0117772
"5,500",1,1,40 Broad St #14B,40.7060375,-74.0117772
"4,500",1,1,40 Broad St #25A,40.7060375,-74.0117772
"4,300",1,1,40 Broad St #20A,40.7060375,-74.0117772
"5,990",2,2,40 Broad St #23H,40.7060375,-74.0117772
"3,500",1,1,40 Broad St #24C,40.7060375,-74.0117772
"3,995",1,1,40 Broad St #11D,40.7060375,-74.0117772
"2,295",1,1,160 Front St #7E,40.7060462,-74.0055252
"2,800",1,1,55 Wall St #835,40.7060794,-74.0093213
"4,400",1,1,55 Wall St #728,40.7060794,-74.0093213
"3,200",1,1,55 Wall St #614,40.7060794,-74.0093213
"3,000",1,1,55 Wall St #633,40.7060794,-74.0093213
"11,495",3,3,55 Wall St #520,40.7060794,-74.0093213
"14,500",3,2,55 Wall St #910,40.7060794,-74.0093213
